question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"The SI unit of force is","Joule","Newton","Pascal","Watt","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which gas is used in the preparation of soda water?","Oxygen","Nitrogen","Carbon dioxide","Hydrogen","2","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Who invented the telephone?","Alexander Graham Bell","Thomas Edison","Nikola Tesla","Marconi","0","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which is the longest river in the world?","Nile","Amazon","Yangtze","Mississippi","0","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which is the largest desert in the world?","Sahara","Gobi","Kalahari","Arabian","0","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"What is the capital of Japan?","Kyoto","Osaka","Tokyo","Nagoya","2","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which metal is liquid at room temperature?","Mercury","Gallium","Sodium","Aluminium","0","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which Five-Year Plan emphasized growth with social justice?","Fourth","Fifth","Sixth","Seventh","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"MSME stands for","Micro, Small & Medium Enterprises","Modern Small & Medium Enterprises","Micro, Service & Manufacturing Enterprises","Ministry of Small & Medium Enterprises","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Parliamentary form of government is borrowed from","USA","UK","France","Japan","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"NITI Aayog was established in","2014","2015","2016","2017","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which river is called 'Sorrow of Bihar'?","Ganga","Kosi","Gandak","Bagmati","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Nalanda University ruins are in which district?","Patna","Nalanda","Gaya","Bhagalpur","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Chhath Puja is dedicated to which deity?","Moon","Sun","Ganga","Shiva","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Who was the first President of India?","Rajendra Prasad","S. Radhakrishnan","Zakir Husain","V. V. Giri","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which is the largest district of Bihar by area?","Gaya","Aurangabad","West Champaran","Kaimur","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which dance form is popular in Bihar?","Bihu","Garba","Jat-Jatin","Lavani","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Who discovered Penicillin?","Louis Pasteur","Alexander Fleming","Edward Jenner","Robert Koch","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which is the hardest natural substance?","Iron","Diamond","Graphite","Quartz","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The currency of Bangladesh is","Rupee","Taka","Rial","Yen","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"What is the chemical formula of water?","H2O","CO2","NaCl","O2","0","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"How many players are there in a cricket team?","10","11","12","9","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Right to Education was added by which Amendment?","86th","42nd","44th","73rd","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which body conducts elections in India?","Parliament","Supreme Court","Election Commission","NITI Aayog","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"GST was implemented in India from","1 April 2016","1 July 2017","1 Jan 2018","1 July 2016","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which mission aims to make India open defecation free?","NRHM","PMAY","Swachh Bharat Mission","AMRUT","2","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Pradhan Mantri Jan Dhan Yojana launched in","2014","2013","2015","2016","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","upsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Champaran Satyagraha took place in","1915","1917","1919","1920","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Barabar Caves are associated with which dynasty?","Maurya","Gupta","Shunga","Kushan","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which national park is in Bihar?","Valmiki","Bandhavgarh","Kaziranga","Sundarbans","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Maithili is included in which Schedule of the Constitution?","7th","8th","9th","10th","1","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Bodh Gaya is situated on the bank of which river?","Falgu","Gandak","Kosi","Punpun","0","NEEDS_AI_EXPLANATION","medium","upsc-cse","bpsc","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Who wrote 'Gitanjali'?","Rabindranath Tagore","Bankim Chandra","Sarojini Naidu","Premchand","0","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which device measures atmospheric pressure?","Thermometer","Barometer","Hygrometer","Anemometer","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"The largest gland in human body is","Thyroid","Pancreas","Liver","Spleen","2","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"World Environment Day is observed on","5 June","22 April","1 May","8 March","0","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
"Which is the smallest continent?","Europe","Australia","Antarctica","South America","1","NEEDS_AI_EXPLANATION","medium","general-knowledge","gk","General","2024","GitHub: SnakeEye-sudo/Offline-Exam-Practice","community","false"
