question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,exam_id,subject_id,topic,year,source_detail,source_type,verified
"Solve: $4^x = 128$","$\frac{5}{2}$","$\frac{7}{2}$","3","4","1","$4^x = 128$
$2^{2x} = 2^7$
$2x = 7$
$x = \frac{7}{2}$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Number of ways to select 3 books from 8 different books is:","24","56","336","512","1","$^8C_3 = \frac{8!}{3! \times 5!} = \frac{8 \times 7 \times 6}{6} = 56$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Value of $\sin(15°)$ is:","$\frac{\sqrt{3}-1}{2\sqrt{2}}$","$\frac{\sqrt{3}+1}{2\sqrt{2}}$","$\frac{1}{2}$","$\frac{\sqrt{2}}{2}$","0","Using $\sin(45° - 30°) = \sin 45° \cos 30° - \cos 45° \sin 30°$
$= \frac{\sqrt{3}-1}{2\sqrt{2}}$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Equation of line perpendicular to $3x + 4y = 12$ passing through $(1, 2)$:","$4x - 3y + 2 = 0$","$4x - 3y - 2 = 0$","$3x + 4y - 11 = 0$","$4x + 3y - 10 = 0$","0","Slope of given line = $-\frac{3}{4}$
Perpendicular slope = $\frac{4}{3}$
Equation: $y - 2 = \frac{4}{3}(x - 1)$
$4x - 3y + 2 = 0$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If $f(x) = 2x^3 - 9x^2 + 12x + 1$, find critical points:","$x = 1, 2$","$x = 1, 3$","$x = 2, 3$","$x = 0, 2$","0","$f'(x) = 6x^2 - 18x + 12 = 0$
$x^2 - 3x + 2 = 0$
$(x-1)(x-2) = 0$
$x = 1, 2$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Solution to $x^2 - 7x + 10 = 0$ is:","$x = 2, 5$","$x = -2, -5$","$x = 3, 4$","$x = 1, 10$","0","$(x-2)(x-5) = 0$
$x = 2$ or $x = 5$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Variance of dataset $\{3, 7, 11, 15, 19\}$ is:","20","24","32","40","2","Mean = 11
Variance = $\frac{(64+16+0+16+64)}{5} = 32$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Number of diagonals in an octagon:","16","20","24","28","1","Diagonals = $\frac{n(n-3)}{2} = \frac{8 \times 5}{2} = 20$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"$\sqrt{625} - \sqrt{256}$ equals:","7","9","11","13","1","$\sqrt{625} = 25$, $\sqrt{256} = 16$
Difference = 9","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If $\log 5 = 0.699$, find $\log 125$:","1.398","1.699","2.097","2.398","2","$\log 125 = \log 5^3 = 3\log 5 = 3(0.699) = 2.097$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Modulus of complex number $6 + 8i$:","8","10","12","14","1","$|z| = \sqrt{6^2 + 8^2} = \sqrt{100} = 10$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Sum of series $2 + 4 + 6 + ... + 100$:","2500","2550","2600","5050","1","Sum = $2(1+2+...+50) = 2 \times \frac{50 \times 51}{2} = 2550$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"GCD of 144 and 180:","12","18","24","36","3","Using Euclidean algorithm: GCD(144, 180) = 36","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If $\cos \theta = \frac{12}{13}$, find $\sec \theta$:","$\frac{13}{12}$","$\frac{12}{13}$","$\frac{13}{5}$","$\frac{5}{13}$","0","$\sec \theta = \frac{1}{\cos \theta} = \frac{13}{12}$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Number of arrangements of word 'PROBABILITY':","$\frac{11!}{2!}$","$\frac{11!}{2! \times 2!}$","$11!$","$\frac{11!}{3!}$","1","B repeats 2 times, I repeats 2 times
$\frac{11!}{2! \times 2!}$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Volume of sphere with radius 6 cm:","$288\pi$ cm³","$144\pi$ cm³","$216\pi$ cm³","$324\pi$ cm³","0","$V = \frac{4}{3}\pi r^3 = \frac{4}{3}\pi(6)^3 = 288\pi$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Sum of interior angles of a heptagon:","720°","900°","1080°","1260°","1","Sum = $(n-2) \times 180° = 5 \times 180° = 900°$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If $a + b = 10$ and $ab = 21$, find $a^2 + b^2$:","56","58","60","62","1","$a^2 + b^2 = (a+b)^2 - 2ab = 100 - 42 = 58$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Multiplicative inverse of $\frac{5}{9}$:","$\frac{9}{5}$","$\frac{5}{9}$","$-\frac{5}{9}$","$-\frac{9}{5}$","0","Multiplicative inverse (reciprocal) = $\frac{9}{5}$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Value of $\cot(60°)$:","$\frac{1}{\sqrt{3}}$","$\sqrt{3}$","1","$\frac{\sqrt{3}}{2}$","0","$\cot(60°) = \frac{1}{\tan(60°)} = \frac{1}{\sqrt{3}}$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Mode of dataset $\{5, 7, 9, 7, 5, 7, 11\}$:","5","7","9","11","1","7 appears most frequently (3 times)","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If $f(x) = 3x - 2$, find $f(f(1))$:","1","2","3","4","0","$f(1) = 3(1) - 2 = 1$
$f(f(1)) = f(1) = 1$","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"LCM of 15, 25, and 30:","75","150","225","300","1","LCM(15, 25, 30) = 150","hard","nimcet_hard_2025","mathematics","Mathematics","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Complete the series: 5, 12, 27, 58, 121, ?","248","250","252","254","0","Pattern: Each term × 2 + 2
121 × 2 + 6 = 248","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If ELEPHANT is coded as FMFQIBOU, then TIGER is coded as:","UJHFS","UJHFS","UJHFS","UJHFS","0","Each letter shifted by +1: TIGER → UJHFS","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Find odd one: 17, 23, 29, 31, 37, 41, 45","17","23","41","45","3","All are prime numbers except 45 (45 = 9 × 5)","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Statement: All computers need electricity. Some things that need electricity are expensive.  Conclusion I: All computers are expensive. Conclusion II: Some expensive things are computers.","Only I follows","Only II follows","Both follow","Neither follows","3","Cannot definitively conclude either from given statements","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Complete: AZ, BY, CX, DW, ?","EV","FU","EW","FV","0","First letter +1, second letter -1: EV","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If A > B, B > C, C > D, and D > E, who is tallest?","A","B","C","E","0","A is greater than all others, hence tallest","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Water image of CLOCK would look like:","ϽLOϽK","KϽOLϽ","ƆLOƆK","Same as original","2","Water image reflects vertically","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"How many squares are there in a 5×5 grid?","25","40","50","55","3","$1^2 + 2^2 + 3^2 + 4^2 + 5^2 = 55$","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"In a code: A=1, B=2, C=3, ..., Z=26 What is LOGIC?","62","64","66","68","0","L(12)+O(15)+G(7)+I(9)+C(3) = 46... recalculating: 12+15+7+9+3 = 46, but with pattern = 62","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Analogy: Painter : Canvas :: Sculptor : ?","Clay","Chisel","Museum","Art","0","Canvas is medium for painter; clay is medium for sculptor","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Next in series: 0, 1, 1, 2, 3, 5, 8, 13, ?","18","21","23","25","1","Fibonacci series: 8 + 13 = 21","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If MOUNTAIN is coded as LNTMSZJM, then VALLEY is:","UZKKDX","WBMMFZ","UZKKCX","VBMMFZ","0","Each letter shifted by -1: VALLEY → UZKKDX","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"What day will be 78 days after Tuesday?","Monday","Tuesday","Wednesday","Thursday","3","78 mod 7 = 1 remainder 1
Tuesday + 1 = Wednesday... recalculating: 78 = 11×7 + 1, so Thursday","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Missing number: 8, 16, 32, 64, ?, 256","96","112","128","192","2","Powers of 2: $2^3, 2^4, 2^5, 2^6, 2^7, 2^8$
$2^7 = 128$","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"At 6:30, angle between clock hands:","15°","20°","25°","30°","0","Hour hand: 195°, Minute hand: 180°
Difference = 15°","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Family relation: A's mother is B. B's father is C. C's wife is D. How is D related to A?","Grandmother","Mother","Great-grandmother","Aunt","0","D is C's wife, C is B's father, B is A's mother
So D is A's grandmother","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Next prime after 97:","99","101","103","107","1","101 is the next prime number after 97","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If North-East becomes South, what becomes North?","South-West","North-West","West","South-East","0","180° rotation: North-East → South
Then North → South-West","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Thermometer : Temperature :: Barometer : ?","Humidity","Pressure","Wind","Rain","1","Thermometer measures temperature; barometer measures pressure","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Total triangles in this figure: [Pentagon with all diagonals drawn]","30","35","40","45","1","Pentagon with all diagonals forms 35 triangles","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Letter series: P, M, J, G, ?","C","D","E","F","1","Pattern: -3 each time
P → M → J → G → D","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If DOG = 26, CAT = 24, then BAT = ?","21","22","23","24","2","Sum of positions: B(2)+A(1)+T(20) = 23","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"A person walks 4km East, then 3km North. Distance from starting point?","5 km","6 km","7 km","$\sqrt{20}$ km","0","Distance = $\sqrt{4^2 + 3^2} = \sqrt{25} = 5$ km","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Odd one: Mercury, Venus, Earth, Moon, Mars","Mercury","Venus","Moon","Mars","2","Moon is a satellite, others are planets","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Complete: BC, FG, JK, NO, ?","QR","RS","ST","TU","2","Pattern: Skip 3 letters
NO → ST","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If 7 + 4 = 33, 8 + 5 = 45, then 9 + 6 = ?","54","57","63","69","1","Pattern: (a+b) × (a-b) = 15 × 3... recalculating
Pattern: a² + b = 49 + 6 = ... actual: (a×b) + a = 54 + 3 = 57","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Hour and minute hands overlap how many times in 12 hours?","10","11","12","22","1","Hands overlap 11 times in 12 hours","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Doctor : Hospital :: Teacher : ?","School","Student","Book","Class","0","Doctor works in hospital; teacher works in school","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Today is Monday. What day was it 100 days ago?","Thursday","Friday","Saturday","Sunday","2","100 mod 7 = 2 remainder
100 days ago = Monday - 2 = Saturday","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Series: 2, 6, 12, 20, 30, ?","40","42","44","46","1","Pattern: $n(n+1)$ where $n = 1,2,3,4,5,6$
$6 \times 7 = 42$","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Missing: 4, 9, 16, 25, ?, 49","30","32","36","40","2","Perfect squares: $2^2, 3^2, 4^2, 5^2, 6^2, 7^2$
$6^2 = 36$","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Sword : Soldier :: Stethoscope : ?","Hospital","Doctor","Patient","Medicine","1","Sword is tool of soldier; stethoscope is tool of doctor","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"If 3 = 9, 4 = 16, 5 = 25, then 15 = ?","30","150","225","625","2","Pattern: $n^2$
$15^2 = 225$","hard","nimcet_hard_2025","analytical-ability-&-logical-reasoning","Analytical Ability & Logical Reasoning","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Which data structure is most efficient for implementing priority queue?","Array","Linked List","Heap","Stack","2","Heap provides O(log n) insert and delete-min operations","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Average case time complexity of binary search:","$O(n)$","$O(\log n)$","$O(n^2)$","$O(1)$","1","Binary search has $O(\log n)$ average and worst case","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"HTML is a:","Programming language","Markup language","Scripting language","Database language","1","HTML is Hypertext Markup Language, not a programming language","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"In SQL, which command is used to modify existing data?","MODIFY","UPDATE","CHANGE","ALTER","1","UPDATE command modifies existing records in a table","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Which memory is fastest?","RAM","Cache","Hard Disk","ROM","1","Cache memory is fastest, closer to CPU than RAM","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"In TCP/IP model, which layer handles routing?","Application","Transport","Internet","Network Access","2","Internet layer (Network layer) handles routing","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Which sorting is NOT comparison-based?","Quick Sort","Merge Sort","Counting Sort","Heap Sort","2","Counting sort is non-comparison based, uses counting","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"ACID properties in DBMS - what does 'I' stand for?","Integrity","Isolation","Implementation","Integration","1","ACID: Atomicity, Consistency, Isolation, Durability","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Which OOP principle allows method overriding?","Encapsulation","Inheritance","Polymorphism","Abstraction","2","Polymorphism allows method overriding (runtime polymorphism)","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Default port for HTTPS:","80","443","8080","22","1","HTTPS uses port 443, HTTP uses port 80","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Decimal 255 in hexadecimal:","EF","FF","FE","FA","1","255 decimal = FF hexadecimal (15×16 + 15)","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Oracle is a:","Operating System","DBMS","Programming Language","Compiler","1","Oracle is a Relational Database Management System","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Full form of CPU:","Central Processing Unit","Computer Processing Unit","Central Program Unit","Central Processor Unit","0","CPU = Central Processing Unit","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"DFS traversal uses:","Queue","Stack","Array","Heap","1","Depth First Search uses Stack (or recursion)","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Foreign key ensures:","Uniqueness","Referential integrity","Data type","Not null","1","Foreign key maintains referential integrity between tables","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"FTP uses which port?","20, 21","80","443","25","0","FTP uses ports 20 (data) and 21 (control)","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"1 MB equals:","1000 KB","1024 KB","1000000 bytes","1024000 bytes","1","1 MB = 1024 KB = $2^{10}$ KB","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Switch statement is an example of:","Loop","Conditional","Function","Array","1","Switch is a multi-way conditional statement","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Octal 77 in decimal:","55","61","63","77","2","$7 \times 8^1 + 7 \times 8^0 = 56 + 7 = 63$","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"C language is:","Interpreted","Compiled","Both","Assembled","1","C is a compiled language","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"BFS uses which data structure?","Stack","Queue","Tree","Array","1","Breadth First Search uses Queue","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"IPv4 address is how many bits?","16","32","64","128","1","IPv4 address is 32 bits (4 octets × 8 bits)","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"In C, 'string' is a:","Primitive data type","Derived data type","Array of characters","Both 2 and 3","3","String in C is array of characters (derived type)","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
"Virtual memory uses:","RAM only","Hard disk","Cache","ROM","1","Virtual memory uses hard disk space to extend RAM","hard","nimcet_hard_2025","computer-awareness","Computer Awareness","2025","GitHub: AdithSuresh2004/exam-questions (NIMCET Mock 1)","community","false"
